INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(920, 11, 348510, 4392);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(9570, 11, 242116, 6952);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(5048, 15, 242116, 4491);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(8802, 9, 964694, 9148);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(7747, 13, 794240, 4146);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(9438, 3, 614667, 4175);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(5194, 8, 794240, 3805);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(3140, 13, 134767, 3821);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(5099, 14, 548301, 5569);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(2731, 2, 989806, 4965);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(3631, 10, 777069, 6320);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(3299, 15, 777069, 1124);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(9914, 1, 614667, 2519);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(867, 5, 469311, 5569);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(2316, 13, 939632, 9249);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(4863, 12, 698246, 764);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(3970, 14, 636000, 8704);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(5837, 15, 270849, 4392);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(3853, 3, 505969, 3821);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(5766, 5, 989806, 5210);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(5307, 6, 146503, 2519);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(4769, 1, 239798, 8342);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(6169, 10, 100921, 1447);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(1434, 3, 458593, 6320);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(9436, 20, 242742, 4921);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(9400, 16, 610750, 5210);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(4436, 14, 998288, 319);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(5188, 6, 614667, 9473);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(1757, 4, 146503, 5310);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(9278, 1, 954938, 4932);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(4286, 13, 587664, 4932);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(8094, 0, 249790, 8632);
INSERT INTO note_du_quizz (id_note_du_quizz, note, id_utilisateur, id_quizz) VALUES(3812, 4, 614667, 6952);
